Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,VCH,VCD,VCA,WHH,WHD,WHA
Belgium,JupilerLeague,2017-2018,B1,2017-07-28,Antwerp,Anderlecht,D,5.75,3.8,1.6,5.0,4.0,1.67,4.7,3.6,1.7,5.2,3.7,1.61,5.5,3.9,1.62,4.75,3.75,1.67
Belgium,JupilerLeague,2017-2018,B1,2017-07-29,Charleroi,Kortrijk,H,1.62,3.75,5.5,1.67,3.7,5.5,1.6,3.7,5.4,1.61,3.6,5.2,1.65,3.8,5.25,1.65,3.75,4.8
Belgium,JupilerLeague,2017-2018,B1,2017-07-29,Eupen,Waregem,A,2.6,3.4,2.6,2.7,3.4,2.6,2.65,3.3,2.5,2.55,3.3,2.5,2.63,3.4,2.6,2.6,3.4,2.5
Belgium,JupilerLeague,2017-2018,B1,2017-07-29,Genk,Waasland-Beveren,D,1.4,4.75,7.0,1.42,4.6,7.75,1.4,4.4,7.3,1.36,4.5,8.0,1.36,4.75,8.5,1.4,4.5,7.0
Belgium,JupilerLeague,2017-2018,B1,2017-07-29,Lokeren,Club Brugge,A,4.2,3.6,1.83,4.25,3.7,1.83,4.2,3.5,1.8,4.0,3.4,1.83,4.2,3.6,1.83,4.33,3.6,1.75
Belgium,JupilerLeague,2017-2018,B1,2017-07-30,Mechelen,Standard,D,2.6,3.4,2.6,2.65,3.4,2.65,2.6,3.2,2.6,2.6,3.2,2.55,2.7,3.4,2.55,2.6,3.4,2.5
Belgium,JupilerLeague,2017-2018,B1,2017-07-30,Oostende,Mouscron,A,1.5,4.33,6.0,1.53,4.4,5.75,1.5,4.0,6.1,1.53,4.0,5.75,1.5,4.33,6.25,1.53,4.0,5.5
Belgium,JupilerLeague,2017-2018,B1,2017-07-30,St Truiden,Gent,H,3.0,3.4,2.3,3.1,3.3,2.35,2.9,3.3,2.3,3.0,3.1,2.3,3.1,3.3,2.3,3.25,3.25,2.15
Belgium,JupilerLeague,2017-2018,B1,2017-04-08,Standard,Genk,H,2.2,3.3,3.25,2.3,3.2,3.3,2.3,3.3,2.9,2.25,3.25,3.0,2.25,3.4,3.1,2.2,3.3,3.1
Belgium,JupilerLeague,2017-2018,B1,2017-05-08,Kortrijk,Lokeren,H,2.05,3.4,3.5,2.2,3.2,3.5,2.2,3.3,3.1,2.15,3.25,3.2,2.15,3.4,3.3,2.15,3.3,3.2
Belgium,JupilerLeague,2017-2018,B1,2017-05-08,Mouscron,Charleroi,A,3.3,3.25,2.2,3.2,3.25,2.35,2.9,3.3,2.3,3.1,3.1,2.25,3.13,3.25,2.3,3.2,3.2,2.2
Belgium,JupilerLeague,2017-2018,B1,2017-05-08,Waasland-Beveren,Mechelen,D,2.45,3.4,2.75,2.7,3.25,2.7,2.4,3.3,2.75,2.5,3.2,2.62,2.55,3.4,2.7,2.45,3.25,2.75
Belgium,JupilerLeague,2017-2018,B1,2017-05-08,Waregem,St Truiden,H,1.75,3.75,4.33,1.83,3.7,4.25,1.85,3.5,3.9,1.85,3.4,3.9,1.87,3.6,4.0,1.8,3.5,4.2
Belgium,JupilerLeague,2017-2018,B1,2017-06-08,Anderlecht,Oostende,H,1.4,4.5,8.0,1.42,4.6,7.75,1.4,4.4,7.3,1.4,4.5,7.5,1.4,4.8,7.5,1.4,4.5,7.0
Belgium,JupilerLeague,2017-2018,B1,2017-06-08,Club Brugge,Eupen,H,1.22,5.75,13.0,1.26,6.25,10.5,1.25,5.5,10.3,1.22,5.8,12.0,1.22,6.25,12.0,1.25,5.5,10.0
Belgium,JupilerLeague,2017-2018,B1,2017-06-08,Gent,Antwerp,A,1.44,4.2,7.5,1.48,4.4,6.75,1.5,4.0,6.1,1.44,4.0,7.0,1.5,4.2,6.5,1.5,4.0,6.0
Belgium,JupilerLeague,2017-2018,B1,2017-11-08,Waregem,Club Brugge,A,3.3,3.4,2.15,3.25,3.5,2.2,3.3,3.3,2.1,3.2,3.4,2.1,3.1,3.5,2.2,3.1,3.6,2.1
Belgium,JupilerLeague,2017-2018,B1,2017-12-08,Eupen,Kortrijk,A,2.1,3.5,3.3,2.2,3.7,3.1,2.1,3.3,3.3,2.2,3.4,3.0,2.2,3.5,3.1,2.15,3.4,3.1
Belgium,JupilerLeague,2017-2018,B1,2017-12-08,Lokeren,Mouscron,A,1.8,3.75,4.2,1.83,3.6,4.5,1.75,3.6,4.3,1.83,3.4,4.2,1.83,3.5,4.4,1.75,3.6,4.33
Belgium,JupilerLeague,2017-2018,B1,2017-12-08,Mechelen,Gent,D,3.1,3.25,2.3,3.2,3.3,2.3,2.65,3.3,2.5,3.0,3.2,2.3,3.1,3.3,2.3,3.0,3.3,2.25
Belgium,JupilerLeague,2017-2018,B1,2017-12-08,Oostende,Waasland-Beveren,A,1.73,3.6,4.75,1.72,3.75,5.0,1.75,3.6,4.3,1.67,3.75,4.5,1.67,4.0,4.75,1.7,3.8,4.4
Belgium,JupilerLeague,2017-2018,B1,2017-08-13,Antwerp,Genk,A,3.3,3.4,2.15,3.5,3.3,2.15,3.1,3.3,2.2,3.2,3.25,2.15,3.3,3.4,2.15,3.1,3.3,2.2
Belgium,JupilerLeague,2017-2018,B1,2017-08-13,Charleroi,Anderlecht,H,4.2,3.5,1.85,4.33,3.4,1.9,4.0,3.45,1.85,3.9,3.3,1.87,4.1,3.5,1.9,4.0,3.5,1.83
Belgium,JupilerLeague,2017-2018,B1,2017-08-13,St Truiden,Standard,H,3.5,3.3,2.1,3.4,3.4,2.15,3.6,3.3,2.0,3.3,3.2,2.1,3.4,3.3,2.15,3.3,3.3,2.1
Belgium,JupilerLeague,2017-2018,B1,2017-08-18,Standard,Waregem,A,1.67,4.0,4.75,1.7,3.8,5.0,1.6,3.7,5.4,1.7,3.8,4.6,1.7,3.9,4.6,1.62,3.8,5.0
Belgium,JupilerLeague,2017-2018,B1,2017-08-19,Eupen,Oostende,H,2.8,3.5,2.38,2.9,3.6,2.35,2.9,3.3,2.3,2.8,3.4,2.25,2.9,3.5,2.3,2.9,3.6,2.2
Belgium,JupilerLeague,2017-2018,B1,2017-08-19,Genk,Charleroi,A,1.85,3.6,4.0,1.9,3.6,4.1,1.85,3.45,4.0,1.87,3.3,3.9,1.9,3.5,4.1,1.8,3.5,4.2
Belgium,JupilerLeague,2017-2018,B1,2017-08-19,Mechelen,Antwerp,A,2.0,3.4,3.75,2.0,3.7,3.6,2.1,3.3,3.3,1.95,3.3,3.6,1.95,3.4,3.9,2.0,3.4,3.5
Belgium,JupilerLeague,2017-2018,B1,2017-08-19,Waasland-Beveren,Lokeren,A,1.95,3.5,3.75,2.0,3.4,3.9,2.0,3.3,3.6,1.95,3.3,3.7,1.95,3.5,3.8,2.0,3.4,3.5
Belgium,JupilerLeague,2017-2018,B1,2017-08-20,Anderlecht,St Truiden,A,1.29,5.5,9.5,1.3,5.5,10.5,1.3,5.0,9.0,1.28,5.0,10.0,1.29,5.4,10.5,1.3,5.0,9.0
Belgium,JupilerLeague,2017-2018,B1,2017-08-20,Kortrijk,Club Brugge,A,4.33,3.75,1.75,4.4,3.7,1.8,4.5,3.5,1.75,4.0,3.6,1.8,4.2,3.75,1.8,4.33,3.6,1.75
Belgium,JupilerLeague,2017-2018,B1,2017-08-20,Mouscron,Gent,H,4.2,3.75,1.8,4.2,3.7,1.85,4.0,3.45,1.85,4.2,3.4,1.8,4.4,3.6,1.8,3.8,3.4,1.91
Belgium,JupilerLeague,2017-2018,B1,2017-08-25,Kortrijk,Mouscron,D,1.85,3.6,4.0,1.9,3.6,4.1,1.9,3.45,3.8,1.87,3.3,3.9,1.87,3.6,4.1,2.0,3.4,3.5
Belgium,JupilerLeague,2017-2018,B1,2017-08-26,Charleroi,Waregem,H,2.1,3.25,3.6,2.1,3.4,3.6,2.1,3.3,3.3,2.1,3.25,3.25,2.15,3.4,3.3,2.1,3.3,3.3
Belgium,JupilerLeague,2017-2018,B1,2017-08-26,Genk,Mechelen,H,1.55,4.0,6.0,1.6,4.1,5.5,1.6,3.9,5.0,1.57,3.9,5.2,1.57,4.1,5.5,1.57,3.8,5.5
Belgium,JupilerLeague,2017-2018,B1,2017-08-26,Lokeren,Eupen,H,2.15,3.4,3.3,2.2,3.3,3.4,2.1,3.3,3.3,2.15,3.3,3.1,2.15,3.5,3.2,2.05,3.5,3.25
Belgium,JupilerLeague,2017-2018,B1,2017-08-26,St Truiden,Waasland-Beveren,H,1.73,3.6,4.75,1.78,3.5,5.0,1.75,3.5,4.5,1.75,3.5,4.4,1.75,3.6,4.6,1.8,3.5,4.2
Belgium,JupilerLeague,2017-2018,B1,2017-08-27,Club Brugge,Standard,H,1.73,3.4,5.25,1.75,3.9,4.5,1.7,3.6,4.7,1.75,3.6,4.2,1.75,3.7,4.6,1.8,3.6,4.0
Belgium,JupilerLeague,2017-2018,B1,2017-08-27,Gent,Anderlecht,D,2.63,3.3,2.6,2.75,3.2,2.7,2.6,3.2,2.6,2.65,3.25,2.5,2.75,3.3,2.55,2.62,3.3,2.5
Belgium,JupilerLeague,2017-2018,B1,2017-08-27,Oostende,Antwerp,A,1.75,3.75,4.5,1.8,3.75,4.4,1.8,3.5,4.2,1.75,3.6,4.2,1.75,3.75,4.4,1.83,3.5,4.0
Belgium,JupilerLeague,2017-2018,B1,2017-08-09,Anderlecht,Lokeren,H,1.29,5.5,10.0,1.28,5.5,11.5,1.25,5.5,10.3,1.28,5.25,10.0,1.25,6.0,10.5,1.3,5.5,8.0
Belgium,JupilerLeague,2017-2018,B1,2017-09-09,Antwerp,St Truiden,D,2.3,3.25,3.1,2.4,3.3,3.0,2.3,3.3,2.9,2.3,3.2,2.9,2.3,3.4,3.0,2.2,3.3,3.1
Belgium,JupilerLeague,2017-2018,B1,2017-09-09,Mouscron,Club Brugge,H,6.0,3.75,1.57,6.0,3.9,1.6,5.6,3.9,1.55,5.25,3.8,1.57,5.5,3.9,1.6,5.5,3.8,1.57
Belgium,JupilerLeague,2017-2018,B1,2017-09-09,Waasland-Beveren,Eupen,H,2.1,3.4,3.4,2.1,3.3,3.7,2.2,3.3,3.1,2.1,3.4,3.2,2.1,3.5,3.4,2.15,3.4,3.1
Belgium,JupilerLeague,2017-2018,B1,2017-09-09,Waregem,Kortrijk,D,1.6,3.8,5.75,1.65,4.0,5.25,1.7,3.6,4.7,1.61,3.8,4.8,1.65,3.9,5.2,1.65,3.8,4.75
Belgium,JupilerLeague,2017-2018,B1,2017-10-09,Gent,Genk,D,2.0,3.5,3.6,2.05,3.5,3.6,2.0,3.3,3.6,2.0,3.3,3.6,2.0,3.5,3.6,2.0,3.4,3.5
Belgium,JupilerLeague,2017-2018,B1,2017-10-09,Mechelen,Oostende,D,2.45,3.2,2.88,2.5,3.3,2.85,2.4,3.3,2.75,2.35,3.4,2.7,2.38,3.6,2.75,2.38,3.6,2.62
Belgium,JupilerLeague,2017-2018,B1,2017-10-09,Standard,Charleroi,D,1.83,3.6,4.2,1.95,3.5,4.0,1.8,3.5,4.2,1.87,3.3,4.0,1.9,3.5,4.1,1.85,3.3,4.2
Belgium,JupilerLeague,2017-2018,B1,2017-09-15,Club Brugge,Mechelen,H,1.36,4.75,8.0,1.35,5.25,8.5,1.3,5.0,9.0,1.36,4.75,7.5,1.36,4.8,8.0,1.36,4.75,7.5