Country,Competition,Season,Div,Date,HomeTeam,AwayTeam,FTR,B365H,B365D,B365A,BSH,BSD,BSA,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SJH,SJD,SJA,VCH,VCD,VCA,WHH,WHD,WHA,Divergence
Belgium,JupilerLeague,2003-2004,B1,2003-08-08,Club Brugge,Genk,H,1.4,3.75,7.0,,,,,,,1.4,3.8,6.85,1.45,3.8,5.4,,,,1.44,3.75,6.5,,,,,,,,,,16.11650485436893
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Anderlecht,Antwerp,H,1.167,6.0,10.0,,,,,,,1.2,5.5,9.25,1.3,4.2,8.0,,,,1.2,5.5,10.0,,,,,,,1.22,5.0,9.5,19.84732824427481
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Charleroi,Lierse,A,2.5,3.5,2.25,,,,,,,2.5,3.35,2.35,2.9,3.2,2.1,,,,2.62,3.4,2.25,,,,,,,2.5,3.4,2.3,11.367127496159757
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Germinal,Bergen,H,1.909,3.5,3.2,,,,,,,1.85,3.35,3.5,1.9,3.4,3.2,,,,1.9,3.4,3.4,,,,,,,1.9,3.5,3.2,6.060606060606055
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Lokeren,St Truiden,D,1.727,3.6,3.75,,,,,,,1.8,3.4,3.65,1.9,3.4,3.2,,,,1.72,3.5,4.0,,,,,,,1.66,3.6,4.0,13.978494623655912
Belgium,JupilerLeague,2003-2004,B1,2003-09-08,Westerlo,Louvieroise,D,1.8,3.5,3.5,,,,,,,1.85,3.45,3.5,1.85,3.3,3.4,,,,1.8,3.5,3.6,,,,,,,1.72,3.5,3.8,6.741573033707859
Belgium,JupilerLeague,2003-2004,B1,2003-10-08,Beveren,Gent,A,2.25,3.5,2.5,,,,,,,2.35,3.35,2.5,2.3,3.4,2.3,,,,2.25,3.5,2.6,,,,,,,2.3,3.4,2.5,7.258064516129037
Belgium,JupilerLeague,2003-2004,B1,2003-10-08,Heusden Zolder,Cercle Brugge,D,2.1,3.5,2.75,,,,,,,2.05,3.45,2.9,2.1,3.3,2.8,,,,2.1,3.4,2.87,,,,,,,2.0,3.4,3.0,4.748603351955305
Belgium,JupilerLeague,2003-2004,B1,2003-10-08,Mouscron,Standard,D,2.5,3.5,2.25,,,,,,,2.55,3.5,2.25,2.5,3.3,2.2,,,,2.62,3.4,2.25,,,,,,,2.62,3.5,2.2,4.069767441860483
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Antwerp,Westerlo,H,2.1,3.5,2.75,,,,,,,2.0,3.2,3.2,2.3,3.1,2.6,,,,2.1,3.25,3.0,,,,,,,1.85,3.4,3.3,12.457912457912457
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Beveren,St Truiden,A,2.5,3.4,2.3,,,,,,,2.55,3.2,2.4,2.2,3.1,2.8,,,,2.5,3.3,2.4,,,,,,,2.35,3.4,2.4,13.821138211382111
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Genk,Charleroi,H,1.3330000000000002,4.333,7.0,,,,,,,1.33,4.2,7.25,1.4,3.9,6.0,,,,1.36,4.0,7.5,,,,,,,1.3,4.4,7.0,13.669064748201443
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Gent,Anderlecht,A,3.5,3.5,1.8,,,,,,,3.35,3.3,1.9,2.9,3.2,2.1,,,,3.5,3.5,1.83,,,,,,,3.5,3.5,1.8,13.432835820895528
Belgium,JupilerLeague,2003-2004,B1,2003-08-16,Louvieroise,Heusden Zolder,H,1.8,3.5,3.5,,,,,,,1.75,3.4,3.85,1.75,3.3,3.8,,,,1.75,3.6,3.75,,,,,,,1.7,3.5,3.8,6.4171122994652325
Belgium,JupilerLeague,2003-2004,B1,2003-08-17,Bergen,Mouscron,D,2.1,3.5,2.75,,,,,,,2.1,3.2,3.0,2.0,3.2,3.1,,,,2.1,3.4,2.87,,,,,,,2.05,3.45,2.8,6.749311294765836
Belgium,JupilerLeague,2003-2004,B1,2003-08-17,Cercle Brugge,Club Brugge,A,7.0,4.0,1.364,,,,,,,7.25,4.2,1.33,8.0,4.2,1.3,,,,8.0,4.2,1.33,,,,,,,8.0,4.5,1.28,8.496732026143794
Belgium,JupilerLeague,2003-2004,B1,2003-08-17,Standard,Lokeren,H,1.727,3.6,3.75,,,,,,,1.8,3.4,3.7,1.9,3.3,3.3,,,,1.72,3.5,4.0,,,,,,,1.72,3.6,3.75,10.810810810810823
Belgium,JupilerLeague,2003-2004,B1,2003-08-18,Lierse,Germinal,D,1.5,3.6,5.5,,,,,,,1.55,3.6,5.0,1.6,3.4,4.6,,,,1.53,3.5,5.5,,,,,,,1.5,3.7,5.0,10.15625000000001
Belgium,JupilerLeague,2003-2004,B1,2003-08-22,Heusden Zolder,Antwerp,D,2.2,3.5,2.625,,,,,,,2.15,3.2,2.95,2.3,3.1,2.6,,,,2.25,3.25,2.7,,,,,,,2.2,3.45,2.55,9.869646182495352
Belgium,JupilerLeague,2003-2004,B1,2003-08-23,Anderlecht,St Truiden,H,1.286,4.5,8.0,,,,,,,1.3,4.5,8.0,1.4,3.9,6.0,,,,1.3,4.5,7.5,,,,,,,1.25,5.0,8.0,19.999999999999996
Belgium,JupilerLeague,2003-2004,B1,2003-08-23,Club Brugge,Louvieroise,D,1.167,5.5,11.0,,,,,,,1.2,5.5,10.0,1.2,5.0,10.0,,,,1.16,5.5,11.0,,,,,,,1.16,6.0,10.0,9.090909090909093
Belgium,JupilerLeague,2003-2004,B1,2003-08-23,Lokeren,Beveren,A,1.533,3.6,5.0,,,,,,,1.5,3.8,5.4,1.4,3.9,6.0,,,,1.44,3.75,6.0,,,,,,,1.4,4.0,5.75,11.190053285968027
Belgium,JupilerLeague,2003-2004,B1,2003-08-23,Mouscron,Lierse,D,2.375,3.5,2.375,,,,,,,2.4,3.3,2.5,2.3,3.1,2.6,,,,2.3,3.4,2.5,,,,,,,2.3,3.4,2.45,7.18562874251496
Belgium,JupilerLeague,2003-2004,B1,2003-08-23,Standard,Bergen,H,1.444,3.75,6.0,,,,,,,1.45,4.0,5.7,1.45,3.8,5.4,,,,1.44,3.75,6.0,,,,,,,1.4,3.75,7.0,16.279069767441847
Belgium,JupilerLeague,2003-2004,B1,2003-08-23,Westerlo,Gent,D,2.25,3.5,2.5,,,,,,,2.4,3.2,2.6,2.2,3.2,2.7,,,,2.4,3.4,2.4,,,,,,,2.35,3.4,2.4,7.14285714285714
Belgium,JupilerLeague,2003-2004,B1,2003-08-24,Charleroi,Cercle Brugge,D,1.909,3.5,3.2,,,,,,,1.9,3.3,3.5,1.8,3.3,3.6,,,,1.85,3.4,3.5,,,,,,,1.8,3.5,3.35,6.705539358600598
Belgium,JupilerLeague,2003-2004,B1,2003-08-24,Germinal,Genk,D,2.5,3.5,2.25,,,,,,,2.8,3.2,2.25,2.4,3.2,2.4,,,,2.6,3.25,2.3,,,,,,,2.4,3.3,2.4,10.236220472440927
Belgium,JupilerLeague,2003-2004,B1,2003-08-29,Lierse,Standard,A,2.4,3.25,2.5,,,,,,,2.35,3.3,2.55,2.4,3.2,2.4,,,,2.6,3.3,2.3,,,,,,,2.5,3.4,2.3,6.1224489795918435
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,Anderlecht,Beveren,H,,,,,,,,,,1.16,5.7,11.5,1.15,6.0,12.0,,,,1.16,5.75,12.0,,,,,,,1.16,6.0,10.0,12.08791208791209
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,Antwerp,Club Brugge,A,5.0,3.75,1.533,,,,,,,4.6,3.6,1.6,4.6,3.4,1.6,,,,5.5,3.6,1.53,,,,,,,5.0,3.8,1.5,11.336032388663986
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,Cercle Brugge,Germinal,H,2.5,3.2,2.5,,,,,,,2.4,3.2,2.55,2.3,3.1,2.6,,,,2.5,3.2,2.5,,,,,,,2.4,3.2,2.45,4.958677685950419
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,Louvieroise,Charleroi,D,1.615,3.5,4.5,,,,,,,1.65,3.45,4.5,1.6,3.4,4.6,,,,1.66,3.25,4.5,,,,,,,1.65,3.4,4.25,4.921700223713666
Belgium,JupilerLeague,2003-2004,B1,2003-08-30,St Truiden,Westerlo,D,1.615,3.5,4.5,,,,,,,1.63,3.55,4.5,1.6,3.4,4.6,,,,1.61,3.4,5.0,,,,,,,1.55,3.65,4.6,7.75862068965516
Belgium,JupilerLeague,2003-2004,B1,2003-08-31,Bergen,Lokeren,D,2.5,3.2,2.5,,,,,,,2.45,3.2,2.5,2.3,3.2,2.5,,,,2.4,3.3,2.5,,,,,,,2.35,3.4,2.4,4.294478527607359
Belgium,JupilerLeague,2003-2004,B1,2003-08-31,Genk,Mouscron,H,1.571,3.5,5.0,,,,,,,1.53,3.7,5.1,1.65,3.3,4.4,,,,1.53,3.5,5.5,,,,,,,1.45,4.0,5.0,11.99999999999999
Belgium,JupilerLeague,2003-2004,B1,2003-08-31,Gent,Heusden Zolder,H,1.4,3.75,7.0,,,,,,,1.43,3.8,6.3,1.45,3.8,5.4,,,,1.4,4.0,6.5,,,,,,,1.4,4.25,5.3,14.754098360655732
Belgium,JupilerLeague,2003-2004,B1,2003-12-09,Heusden Zolder,St Truiden,A,2.75,3.25,2.2,,,,,,,2.8,3.2,2.2,2.8,3.3,2.1,,,,2.8,3.2,2.25,,,,,,,2.6,3.25,2.25,5.454545454545434
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Charleroi,Antwerp,A,2.2,3.25,2.75,,,,,,,2.02,3.25,3.1,2.2,3.1,2.8,,,,2.1,3.25,3.0,,,,,,,2.1,3.3,2.8,7.266435986159192
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Club Brugge,Gent,D,1.25,5.0,8.0,,,,,,,1.25,4.75,8.5,1.3,4.2,8.0,,,,1.28,4.5,8.5,,,,,,,1.28,5.0,7.0,12.5
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Germinal,Louvieroise,D,1.9,3.25,3.4,,,,,,,1.95,3.25,3.3,1.85,3.3,3.4,,,,1.9,3.25,3.5,,,,,,,1.85,3.35,3.35,3.244837758112107
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Lokeren,Anderlecht,A,4.0,3.6,1.66,,,,,,,4.35,3.4,1.67,4.0,3.5,1.65,,,,4.5,3.4,1.66,,,,,,,4.5,3.5,1.61,6.323185011709609
Belgium,JupilerLeague,2003-2004,B1,2003-09-13,Westerlo,Beveren,H,1.8,3.4,3.6,,,,,,,1.8,3.35,3.75,1.85,3.3,3.4,,,,1.8,3.4,3.75,,,,,,,1.85,3.35,3.35,6.162464985994398
Belgium,JupilerLeague,2003-2004,B1,2003-09-14,Bergen,Lierse,A,2.37,3.25,2.5,,,,,,,2.6,3.1,2.4,2.6,3.3,2.2,,,,2.5,3.3,2.4,,,,,,,2.5,3.4,2.25,6.382978723404253
Belgium,JupilerLeague,2003-2004,B1,2003-09-14,Mouscron,Cercle Brugge,H,1.57,3.5,5.0,,,,,,,1.5,3.5,6.0,1.55,3.7,4.4,,,,1.57,3.4,5.5,,,,,,,1.75,3.4,3.7,24.79674796747967
Belgium,JupilerLeague,2003-2004,B1,2003-09-14,Standard,Genk,A,1.72,3.4,4.0,,,,,,,1.75,3.4,3.85,1.65,3.5,4.0,,,,1.75,3.4,4.0,,,,,,,1.72,3.5,3.8,3.9580908032596063
Belgium,JupilerLeague,2003-2004,B1,2003-09-20,Anderlecht,Westerlo,H,1.2,5.0,11.0,,,,,,,1.15,5.85,12.0,1.17,5.5,11.0,,,,1.16,5.75,12.0,,,,,,,1.14,6.0,12.0,11.032028469750887
Belgium,JupilerLeague,2003-2004,B1,2003-09-20,Beveren,Heusden Zolder,H,1.72,3.4,4.0,,,,,,,1.7,3.4,4.2,1.7,3.3,4.0,,,,1.75,3.4,4.0,,,,,,,1.75,3.35,3.75,6.015037593984962
Belgium,JupilerLeague,2003-2004,B1,2003-09-20,Cercle Brugge,Standard,H,3.6,3.4,1.8,,,,,,,3.85,3.45,1.75,3.8,3.4,1.7,,,,4.0,3.4,1.75,,,,,,,4.33,3.4,1.66,10.57201225740554
Belgium,JupilerLeague,2003-2004,B1,2003-09-20,Genk,Bergen,D,1.28,4.5,8.0,,,,,,,1.23,5.0,9.0,1.35,4.0,7.0,,,,1.25,4.75,9.5,,,,,,,1.25,5.0,7.25,16.564417177914102